id,title,wikipedia_url,birth_date,death_date,influenced_by,influenced,period_life,school_teaching
628115,"Давыдов, Юрий Николаевич",https://ru.wikipedia.org/wiki/Давыдов%2C_Юрий_Николаевич,,,,,,
628419,"Паточка, Ян",https://ru.wikipedia.org/wiki/Паточка%2C_Ян,1 июня 1907(1907-06-01),13 марта 1977(1977-03-13) (69 лет),Эдмунд Густав Альбрехт Гуссерль,,,
631319,Александр Афродисийский,https://ru.wikipedia.org/wiki/Александр_Афродисийский,II век,III век,,,Римская империя,
631372,"Франкенберг, Абрахам фон",https://ru.wikipedia.org/wiki/Франкенберг%2C_Абрахам_фон,24 июня 1593(1593-06-24),25 июня 1652(1652-06-25) (59 лет),Якоб Бёме,,,Теософия
632036,"Вайцзеккер, Карл Фридрих фон",https://ru.wikipedia.org/wiki/Вайцзеккер%2C_Карл_Фридрих_фон,,,,,,
634424,"Стэнхоуп, Филип Дормер, 4-й граф Честерфилд",https://ru.wikipedia.org/wiki/Стэнхоуп%2C_Филип_Дормер%2C_4-й_граф_Честерфилд,,,,,,
638035,"Библер, Владимир Соломонович",https://ru.wikipedia.org/wiki/Библер%2C_Владимир_Соломонович,4 июля 1918(1918-07-04),3 июня 2000(2000-06-03) (81 год),,"А. В. Ахутин, С. С. Неретина",,
639624,"Боровой, Алексей Алексеевич",https://ru.wikipedia.org/wiki/Боровой%2C_Алексей_Алексеевич,11 ноября 1875(1875-11-11),21 ноября 1935(1935-11-21) (60 лет),"в ранние годы: Маркс, Энгельс; позднее: Штирнер, Бергсон, Сорель, В. С. Соловьёв, Достоевский, Ницше, Прудон, Бакунин; в более поздние годы: Аршинов, Махно",Рябов,Современная философия,"Марксизм (до 1904), философский анархизм, анархо-индивидуализм (с 1904) под влиянием анархо-синдикализма (с 1911) и платформизма (с 1927)"
642630,"Лере, Франсуа",https://ru.wikipedia.org/wiki/Лере%2C_Франсуа,,,,,,
642743,Хуэйнэн,https://ru.wikipedia.org/wiki/Хуэйнэн,638,713,,,седьмой век н.э.,Чань
643355,"Данто, Артур",https://ru.wikipedia.org/wiki/Данто%2C_Артур,1 января 1924(1924-01-01),25 октября 2013(2013-10-25) (89 лет),Жан-Поль Сартр,,,
651384,"Фодор, Джерри Алан",https://ru.wikipedia.org/wiki/Фодор%2C_Джерри_Алан,22 апреля 1935(1935-04-22)[1],29 ноября 2017(2017-11-29)[2][3][…] (82 года),,,философия XX века,
654178,"Бубер, Мартин",https://ru.wikipedia.org/wiki/Бубер%2C_Мартин,8 февраля 1878(1878-02-08)[1][2][…],13 июня 1965(1965-06-13)[3][1][…] (87 лет),"Кант, Ницше, Баал-Шем-Тов, Кьеркегор","Шолем, Лейбович",философия XX века,экзистенциализм
661531,"Эрдман, Иоганн Эдуард",https://ru.wikipedia.org/wiki/Эрдман%2C_Иоганн_Эдуард,13 июня 1805(1805-06-13),12 июня 1892(1892-06-12) (86 лет),,,Философия XIX века,Гегельянство
663041,"Помпонацци, Пьетро",https://ru.wikipedia.org/wiki/Помпонацци%2C_Пьетро,16 сентября 1462(1462-09-16),18 мая 1525(1525-05-18) (62 года),аверроизм,,Возрождение,
663710,"Маковельский, Александр Осипович",https://ru.wikipedia.org/wiki/Маковельский%2C_Александр_Осипович,22 июля (3 августа) 1884,16 декабря 1969(1969-12-16)[1] (85 лет),,,Философия XX века,
663788,"Аревшатян, Сен Суренович",https://ru.wikipedia.org/wiki/Аревшатян%2C_Сен_Суренович,,,,,,
667290,"Афанасьев, Виктор Григорьевич",https://ru.wikipedia.org/wiki/Афанасьев%2C_Виктор_Григорьевич,18 ноября 1922(1922-11-18)[1],10 апреля 1994(1994-04-10) (71 год),,,Философия XX века,Марксизм
670618,"Фролов, Иван Тимофеевич",https://ru.wikipedia.org/wiki/Фролов%2C_Иван_Тимофеевич,,,,,,
686834,"Апель, Карл-Отто",https://ru.wikipedia.org/wiki/Апель%2C_Карл-Отто,15 марта 1922(1922-03-15),15 мая 2017(2017-05-15) (95 лет),"Людвиг Витгенштейн[1], Пирс, Чарльз Сандерс[1], Юрген Хабермас[1] и Мартин Хайдеггер",,,
